RestaurantID,Restaurant Name,Address,Time,District,Time Open,Time Close,Lowest Price,Highest Price
3483,Trà sữa Thơm - Hiệp Bình,"59/4f Đ. Hiệp Bình, KP6, P. Hiệp Bình Phước, Thành Phố Thủ Đức, TP. HCM",00:00 - 23:59,Thành Phố Thủ Đức,00:00,23:59,20000.0,50000.0
3484,Miền Tây Quán - Âu Dương Lân,"184/38/49/54 Âu Dương Lân, P. 3, Quận 8, TP. HCM",08:30 - 23:00,Quận 8,08:30,23:00,20000.0,50000.0
3485,Wonder Chicken - Hoàng Sa,"373/5 Hoàng Sa, P.Tân Định, Quận 1, TP. HCM",00:00 - 23:59,Quận 1,00:00,23:59,20000.0,50000.0
3486,Tư Hùng Food - Beefsteak Mỹ & Mì Ý - 88 Kênh Tân Hoá,"88 Kênh Tân Hoá, P.Phú Trung, Tân Phú, TP. HCM",09:05 - 22:00,Tân Phú,09:05,22:00,20000.0,50000.0
3487,Bánh Tráng Chinchin - Ăn Vặt - Bùi Cẩm Hổ,"4/7 Bùi Cẩm Hổ, P. Tân Thới Hoà, Tân Phú, TP. HCM",00:00 - 23:59,Tân Phú,00:00,23:59,20000.0,50000.0
3488,Bánh Tráng Trộn & Há Cảo Hấp,"177 Vạn Kiếp, P.3, Bình Thạnh, TP. HCM",00:00 - 23:59,Bình Thạnh,00:00,23:59,10000.0,20000.0
3489,Cơm Gà Khang Ký - Tân Hương,"33 Tân Hương, P. Tân Quý, Tân Phú, TP. HCM",00:00 - 23:59,Tân Phú,00:00,23:59,20000.0,50000.0
3490,Donut 124 - Vạn Kiếp,"124 Vạn Kiếp, P. 3, Bình Thạnh, TP. HCM",00:00 - 23:59,Bình Thạnh,00:00,23:59,20000.0,50000.0
3491,Gà Nướng Cơm Lam Thiên Phúc 79 - Quốc Lộ 50,"1394, Quốc Lộ 50, Ấp 5, X. Phong Phú, Bình Chánh, TP. HCM",09:00 - 21:00,Bình Chánh,09:00,21:00,20000.0,50000.0
3492,Mì Trộn Phúc Hoa - Nguyễn Thị Đặng,"482 Nguyễn Thị Đặng, P. Hiệp Thành, Quận 12, TP. HCM",00:00 - 23:59,Quận 12,00:00,23:59,30000.0,50000.0
3493,Bánh Tráng Phan Bội Châu,"49 Đông Hưng Thuận 30 - Khu Phố 4, P. Đông Hưng Thuận, Quận 12, TP. HCM",08:30 - 21:45,Quận 12,08:30,21:45,20000.0,50000.0
3494,Sinh Tố Cô Ba - Đặng Nguyên Cẩn,"66 Đặng Nguyên Cẩn, P. 14, Quận 6, TP. HCM",09:00 - 20:00,Quận 6,09:00,20:00,20000.0,50000.0
3495,Tuệ Tâm - Cơm Chay & Mì Chay - Phó Cơ Điều,"155/67 Phó Cơ Điều, P. 6, Quận 11, TP. HCM",00:00 - 23:59,Quận 11,00:00,23:59,20000.0,50000.0
3496,Bánh Tráng Dẻo Muối Nhuyễn Tiêu Chi - Tân Hoà Đông,"273/18/9/1B Tân Hoà Đông, P. Bình Trị Đông, Bình Tân, TP. HCM",00:00 - 23:59,Bình Tân,00:00,23:59,9000.0,12000.0
3497,Gà Nướng Muối Ớt Hương Quê 2 - Nguyễn Văn Tăng,"Số 6, Nguyễn Văn Tăng, P. Long Thạnh Mỹ, Thành Phố Thủ Đức, TP. HCM",00:00 - 23:59,Thành Phố Thủ Đức,00:00,23:59,20000.0,50000.0
3498,Khoai Mật Cao Cấp - Khoai Lang Mật Đà Lạt - 320 Ung Văn Khiêm,"320 Ung Văn Khiêm, P. 25, Bình Thạnh, TP. HCM",00:00 - 23:59,Bình Thạnh,00:00,23:59,20000.0,50000.0
3499,Cơm Thố Béo - Đinh Bộ Lĩnh,"70/2 Đinh Bộ Lĩnh, P. 26, Bình Thạnh, TP. HCM",00:00 - 23:59,Bình Thạnh,00:00,23:59,20000.0,50000.0
3500,"Bếp Nhà Violet - Chân Gà Xả Tắc, Ốc Ruốc & Chè Dưỡng Nhan - Đông Hưng Thuận 14B","48/16/2 Đông Hưng Thuận 14B, P. Đông Hưng Thuận, Quận 12, TP. HCM",00:00 - 23:59,Quận 12,00:00,23:59,20000.0,50000.0
3501,Trà Sữa Huy's - Quang Trung,"781 Quang Trung, P. 12, Gò Vấp, TP. HCM",08:00 - 23:00,Gò Vấp,08:00,23:00,15000.0,48000.0
3502,Trà Bí Đao Hạt Chia - Tiệm Trà Trái Cây Cô Chủ Nhỏ,"891/18 Nguyễn Kiệm, P. 3, Gò Vấp, TP. HCM",08:35 - 22:45,Gò Vấp,08:35,22:45,20000.0,50000.0
3503,Cơm Tấm Phúc Thịnh - Cơm Tấm & Bún Thịt Nướng - Song Hành,"380C Song Hành, QL 22, P. Trung Mỹ Tây, Quận 12, TP. HCM",00:00 - 23:59,Quận 12,00:00,23:59,20000.0,50000.0
3504,"Trà Trái Cây, Sinh Tố & Nước Ép Minh Châu","20 Tây Lân, P. Bình Trị Đông A, Bình Tân, TP. HCM",09:00 - 21:30,Bình Tân,09:00,21:30,20000.0,50000.0
3505,Bún Mắm - Bún Thái Cậu 3,"948 Đường Cách Mạng Tháng 8, P. 5, Tân Bình, TP. HCM",00:00 - 23:59,Tân Bình,00:00,23:59,20000.0,50000.0
3506,Nhà Ti - Trà Sữa & Ăn Vặt - Dương Bá Cung,"44-46 Dương Bá Cung, P. An Lạc A, Bình Tân, TP. HCM",00:00 - 23:59,Bình Tân,00:00,23:59,20000.0,50000.0
3507,Bếp Xoàn - Sương Nguyệt Ánh,"1B Sương Nguyệt Ánh - P. Bến Thành, Quận 1, TP. HCM",00:00 - 23:59,Quận 1,00:00,23:59,20000.0,50000.0
3508,Tiệm Trà Cà Phê Của Kacha - Võ Thị Thừa,"2180/3b Võ Thị Thừa, P. An Phú Đông, Quận 12, TP. HCM",00:00 - 23:59,Quận 12,00:00,23:59,20000.0,50000.0
3509,Tuấn Kiệt 2 - Trà Tắc & Nước Sâm - Cách Mạng Tháng 8,"607B Cách Mạng Tháng 8, P. 15, Quận 10, TP. HCM",08:45 - 23:30,Quận 10,08:45,23:30,20000.0,50000.0
3510,Trà Và Sữa,"58 Đường Số 10, P. Tân Quy, Quận 7, TP. HCM",00:00 - 23:59,Quận 7,00:00,23:59,10000.0,100000.0
3511,Trà Sữa Mr.T - Quốc Lộ 13,"630/17/1A Quốc Lộ 13, P. Hiệp Bình Phước, Thành Phố Thủ Đức, TP. HCM",08:00 - 23:59,Thành Phố Thủ Đức,08:00,23:59,20000.0,50000.0
3512,Chân Gà Sốt Thái & Nước Ép HẢO HẢO - Đồ Ăn & Thức Uống - Nguyễn Ảnh Thủ,"267A Nguyễn Ảnh Thủ, P. Hiệp Thành, Quận 12, TP. HCM",09:00 - 22:00,Quận 12,09:00,22:00,20000.0,50000.0
3513,IzBôn Tea - Mạc Đĩnh Chi,"10 Mạc Đĩnh Chi, Quận 1, TP. HCM",00:00 - 23:59,Quận 1,00:00,23:59,18000.0,45000.0
3514,Tiệm Trà Ơ Kìa - Trà Sữa & Trà Trái Cây Ngon Đậm Vị - Trương Hoàng Thanh,"13 Trương Hoàng Thanh, P. 12, Tân Bình, TP. HCM",00:00 - 23:59,Tân Bình,00:00,23:59,20000.0,40000.0
3515,Bánh Tráng Sợi Dẻo Full Topping - Ngân Hồ,"63/3/13 Trương Phước Phan, P. Bình Trị Đông, Bình Tân, TP. HCM",00:00 - 23:59,Bình Tân,00:00,23:59,12000.0,25000.0
3516,CheeBee Hamburger - Hamburger & Hotdog,"168/44B Nguyễn Gia Trí, P. 25, Bình Thạnh, TP. HCM",00:00 - 23:59,Bình Thạnh,00:00,23:59,20000.0,50000.0
3517,Trái Cây Cắt Sẵn Chua Ngọt - Bún Nước Tương & Tàu Hủ Singapore,"43/7 Cộng Hòa, P. 4, Tân Bình, TP. HCM",00:00 - 23:59,Tân Bình,00:00,23:59,20000.0,50000.0
3518,Bánh Tráng Mỡ Hành Tốp Mỡ & Cá Viên Chiên Hẻm 36 - Đường Số 14,"36-1 Đường Số 14, P. Bình Hưng Hòa A, Bình Tân, TP. HCM",00:00 - 23:59,Bình Tân,00:00,23:59,20000.0,50000.0
3519,Bánh Tráng Cô Vương,"29/41 Nguyễn Hới, P. An Lạc, Bình Tân, TP. HCM",00:00 - 23:59,Bình Tân,00:00,23:59,3000.0,35000.0
3520,Hột Vịt Lộn Lữ Gia - Hột Vịt Lộn & Bắp Xào,"196 Bà Hạt, P. 9, Quận 10, TP. HCM",00:00 - 23:59,Quận 10,00:00,23:59,9000.0,22000.0
3521,"Cơm Gà Quay, Xá Xíu Hoà Ký - Nguyễn Thị Tú","D1/2B Nguyễn Thị Tú, X. Vĩnh Lộc B, Bình Chánh, TP. HCM",09:00 - 22:00,Bình Chánh,09:00,22:00,20000.0,50000.0
3522,Nước Ép & Cà Phê - Bánh Mì H&H,"372 (Nhánh 2) Đường Dương Bá Trạc, P. 1, Quận 8, TP. HCM",00:00 - 23:59,Quận 8,00:00,23:59,20000.0,50000.0
3523,"Bếp Jen - Cơm Thịt Luộc Cà Pháo, Bún Mắm Nêm & Bún Nước Tương","840/2F Hương Lộ 2, P. Bình Trị Đông A, Bình Tân, TP. HCM",09:00 - 20:00,Bình Tân,09:00,20:00,20000.0,50000.0
3524,Bún Đậu A Béo - Đường Số 2,"35/4 Đường Số 2, KP. 6, P. Hiệp Bình Phước, Thành Phố Thủ Đức, TP. HCM",00:00 - 23:59,Thành Phố Thủ Đức,00:00,23:59,20000.0,50000.0
3525,Tiệm Trà Cô Nguyệt - Trà Trái Cây & Trà Dâu - Đô Đốc Long,"51 Đô Đốc Long, P. Tân Quý, Tân Phú, TP. HCM",09:00 - 23:59,Tân Phú,09:00,23:59,20000.0,50000.0
3526,HẢi VÂN Fruit - Trái Cây Cắt Sẵn - Quang Trung,"911/10/59 Quang Trung, P. 14, Gò Vấp, TP. HCM",00:00 - 23:59,Gò Vấp,00:00,23:59,20000.0,50000.0
3527,Bánh Tráng Hai Ù,"Hẻm 715, Số B236 Nguyễn Văn Quá, P. Đông Hưng Thuận, Quận 12, TP. HCM",00:00 - 23:59,Quận 12,00:00,23:59,7000.0,35000.0
3528,Cơm Gà Xối Mỡ Thanh Được - Xô Viết Nghệ Tĩnh,"406B Xô Viết Nghệ Tĩnh, P. 25, Bình Thạnh, TP. HCM",00:00 - 23:59,Bình Thạnh,00:00,23:59,20000.0,50000.0
3529,Ngố - Khoai Phủ & Gà Xốt - Trần Nhân Tôn,"2C Trần Nhân Tôn, P. 2, Quận 10, TP. HCM",00:00 - 23:59,Quận 10,00:00,23:59,20000.0,50000.0
3530,"Candy Lemon - Pizza, Món Ăn Vặt & Nước Giải Khát","25/19 Phạm Đăng Giảng, P. Bình Hưng Hòa, Bình Tân, TP. HCM",09:00 - 21:00,Bình Tân,09:00,21:00,20000.0,50000.0
3531,Lẩu Ly Cây Trâm - Lẩu & Mì Trộn - Cây Trâm,"512 Cây Trâm, P. 9, Gò Vấp, TP. HCM",09:00 - 23:00,Gò Vấp,09:00,23:00,20000.0,50000.0
3532,Osu Foods & Drinks - Trần Hưng Đạo,"112 Trần Hưng Đạo, P. 7, Quận 5, TP. HCM",09:30 - 21:15,Quận 5,09:30,21:15,20000.0,50000.0
3533,Pika Pika - Cháo Dinh Dưỡng - Chung Cư CITISOHO,"Shop A-002, Block A, Chung Cư CITISOHO, P. Cát Lái, Thành Phố Thủ Đức, TP. HCM",06:00 - 12:30 | 15:30 - 20:00,Thành Phố Thủ Đức,06:00,20:00,20000.0,50000.0
